# zgw	ngw1	ngw2	ngw3	ngw4	ngw5	ngw6	ngw7	ngw8	ngw9	ngw10	ngw11	ngw12	ngw13
2.39239239	0.00000000	0.00000000	0.00000000	0.00000013	0.00001522	0.00069194	0.01454160	0.15180737	0.79123111	1.95557126	2.05038703	0.75346685	0.07011383
2.39739740	0.00000000	0.00000000	0.00000000	0.00000012	0.00001367	0.00063018	0.01345203	0.14293855	0.76026214	1.92354478	2.07241398	0.78626391	0.07604142
2.40240240	0.00000000	0.00000000	0.00000000	0.00000010	0.00001227	0.00057376	0.01243949	0.13452414	0.73007549	1.89068856	2.09288241	0.81964983	0.08236802
2.40740741	0.00000000	0.00000000	0.00000000	0.00000009	0.00001102	0.00052226	0.01149893	0.12654569	0.70067849	1.85707433	2.11175611	0.85358695	0.08911142
2.41241241	0.00000000	0.00000000	0.00000000	0.00000008	0.00000989	0.00047524	0.01062563	0.11898511	0.67207635	1.82277351	2.12900288	0.88803513	0.09628951
2.41741742	0.00000000	0.00000000	0.00000000	0.00000007	0.00000888	0.00043235	0.00981512	0.11182473	0.64427225	1.78785699	2.14459461	0.92295176	0.10392017
2.42242242	0.00000000	0.00000000	0.00000000	0.00000006	0.00000796	0.00039322	0.00906319	0.10504731	0.61726747	1.75239491	2.15850735	0.95829191	0.11202124
2.42742743	0.00000000	0.00000000	0.00000000	0.00000006	0.00000714	0.00035753	0.00836592	0.09863605	0.59106147	1.71645650	2.17072133	0.99400839	0.12061043
2.43243243	0.00000000	0.00000000	0.00000000	0.00000005	0.00000641	0.00032500	0.00771959	0.09257461	0.56565199	1.68010986	2.18122099	1.03005187	0.12970527
2.43743744	0.00000000	0.00000000	0.00000000	0.00000004	0.00000575	0.00029535	0.00712074	0.08684711	0.54103519	1.64342183	2.18999501	1.06637101	0.13932303
2.44244244	0.00000000	0.00000000	0.00000000	0.00000004	0.00000515	0.00026834	0.00656609	0.08143814	0.51720572	1.60645780	2.19703627	1.10291261	0.14948064
2.44744745	0.00000000	0.00000000	0.00000000	0.00000003	0.00000462	0.00024374	0.00605258	0.07633280	0.49415683	1.56928160	2.20234185	1.13962170	0.16019459
2.45245245	0.00000000	0.00000000	0.00000000	0.00000003	0.00000414	0.00022134	0.00557737	0.07151664	0.47188049	1.53195534	2.20591296	1.17644175	0.17148091
2.45745746	0.00000000	0.00000000	0.00000000	0.00000003	0.00000371	0.00020094	0.00513776	0.06697570	0.45036746	1.49453929	2.20775489	1.21331482	0.18335503
